-inf,-inf,1,-inf,-inf,-inf,-inf,-inf,
-inf,-inf,1,-inf,-inf,-inf,-inf,-inf,
-inf,-inf,1,-inf,-inf,-inf,-inf,-inf,
-nan,-nan,-1,-nan,-nan,-nan,-nan,-nan,
-nan,-nan,-1,-nan,-nan,-nan,-nan,-nan,
-inf,-inf,1,-inf,-inf,-inf,-inf,-inf,
-nan,-nan,-1,-nan,-nan,-nan,-nan,-nan,
-nan,-nan,-1,-nan,-nan,-nan,-nan,-nan,
-nan,-nan,-1,-nan,-nan,-nan,-nan,-nan,
-nan,-nan,-1,-nan,-nan,-nan,-nan,-nan,
-nan,-nan,-1,-nan,-nan,-nan,-nan,-nan,
-nan,-nan,-1,-nan,-nan,-nan,-nan,-nan,
-nan,-nan,-1,-nan,-nan,-nan,-nan,-nan,
-nan,-nan,-1,-nan,-nan,-nan,-nan,-nan,
-nan,-nan,-1,-nan,-nan,-nan,-nan,-nan,
-nan,-nan,-1,-nan,-nan,-nan,-nan,-nan,
-nan,-nan,-1,-nan,-nan,-nan,-nan,-nan,
